inspection_round,video_source,track_id,defect_id,frame_number,frame_x_min,frame_y_min,frame_x_max,frame_y_max,defect_class_id,geom,gps_longitude,gps_latitude,gps_altitude_m,confidence_detect,degree_classification,verified,ra_region,ra_area,road_no,segment_id_500m
2025-11V4,GX010609,136211,GX010609_136211,49770.0,11.141,989.99,345.383,230.785,14.0,0101000020110f0000053ce80e12433f4173a6e562308b48c1,18.404558299999998,-27.7460397,1071.3474999999999,1.00,NotRated,True,Keetmanshoop,Karasburg,T0301,T0301-352
2025-11V4,GX010609,136211,GX010609_136211,49770.0,458.387,636.64921,313.55,264.20979,14.0,0101000020110f0000053ce80e12433f4173a6e562308b48c1,18.404558299999998,-27.7460397,1071.3474999999999,1.00,NotRated,True,Keetmanshoop,Karasburg,T0301,T0301-352
2025-11V4,GX010609,136211,GX010609_136211,49770.0,789.445,507.728,198.953,98.68,14.0,0101000020110f0000053ce80e12433f4173a6e562308b48c1,18.404558299999998,-27.7460397,1071.3474999999999,1.00,NotRated,True,Keetmanshoop,Karasburg,T0301,T0301-352
2025-11V4,GX010609,136213,GX010609_136213,50190.0,329.466,748.063,190.995,159.162,14.0,0101000020110f00002f5a6ea036433f410caacade398b48c1,18.4048868,-27.7461905,1070.975,1.00,NotRated,True,Keetmanshoop,Karasburg,T0301,T0301-351
2025-11V4,GX010609,136213,GX010609_136213,50190.0,526.827,636.649,178.262,82.765,14.0,0101000020110f00002f5a6ea036433f410caacade398b48c1,18.4048868,-27.7461905,1070.975,1.00,NotRated,True,Keetmanshoop,Karasburg,T0301,T0301-351
2025-11V4,GX010609,136217,GX010609_136217,56950.0,1192.126,568.209,240.335,409.048,14.0,0101000020110f0000d551cfd1b9453f41b554bca0e68b48c1,18.4106647,-27.7489374,1065.045,1.00,NotRated,True,Keetmanshoop,Karasburg,T0301,T0301-350
2025-11V4,GX010609,136217,GX010609_136217,56950.0,1161.885,1096.628,367.665,284.901,14.0,0101000020110f0000d551cfd1b9453f41b554bca0e68b48c1,18.4106647,-27.7489374,1065.045,1.00,NotRated,True,Keetmanshoop,Karasburg,T0301,T0301-350
2025-11V4,GX010609,136218,GX010609_136218,56970.0,1225.55,600.042,233.968,232.377,14.0,0101000020110f00005364f566bc453f411e498d63e78b48c1,18.4106879,-27.7489495,1065.011,1.00,NotRated,True,Keetmanshoop,Karasburg,T0301,T0301-350
2025-11V4,GX010609,136218,GX010609_136218,56970.0,1165.068,918.366,367.665,342.199,14.0,0101000020110f00005364f566bc453f411e498d63e78b48c1,18.4106879,-27.7489495,1065.011,1.00,NotRated,True,Keetmanshoop,Karasburg,T0301,T0301-350
2025-11V4,GX010609,136218,GX010609_136218,56970.0,1227.141,453.613,135.288,111.413,14.0,0101000020110f00005364f566bc453f411e498d63e78b48c1,18.4106879,-27.7489495,1065.011,1.00,NotRated,True,Keetmanshoop,Karasburg,T0301,T0301-350
