inspection_round,video_source,track_id,defect_id,frame_number,frame_x_min,frame_y_min,frame_x_max,frame_y_max,defect_class_id
2025-10V4,GX020590,5386,GX020590_5386,51070.0,2204.9276,1000.39954,403.19671,209.1898,4.0
2025-10V4,GX020590,5481,GX020590_5481,51970.0,2162.75251,951.47613,377.89122,242.92979,4.0
2025-10V4,GX020590,5495,GX020590_5495,52000.0,2022.73031,808.07991,362.70809,253.05205,4.0
2025-10V4,GX020590,5423,GX020590_5423,51680.0,2105.394,956.537,448.746,131.587,2.0
2025-10V4,GX020590,5426,GX020590_5426,51690.0,1931.63106,857.0031,408.258,87.72498,2.0
2025-10V4,GX020590,5426,GX020590_5426,51690.0,2177.93593,1057.7579,433.562,80.977,2.0
2025-10V4,GX020590,5450,GX020590_5450,51780.0,2292.653,1069.567,394.761,111.343,2.0
2025-10V4,GX020590,5453,GX020590_5453,51790.0,2056.471,907.614,352.586,101.221,2.0
2025-10V4,GX020590,5685,GX020590_5685,53200.0,1813.54016,760.84351,404.88381,195.69348,2.0
2025-10V4,GX020590,5685,GX020590_5685,53200.0,2279.15678,1078.00199,318.845,74.229,2.0
2025-10V4,GX020590,5703,GX020590_5703,53310.0,1967.059,937.98,435.25,87.725,2.0
2025-10V4,GX020590,5703,GX020590_5703,53310.0,2461.354,1233.208,232.808,97.846,2.0
2025-10V4,GX020590,5705,GX020590_5705,53310.0,1987.30288,946.41491,408.258,87.725,2.0
2025-10V4,GX020590,5705,GX020590_5705,53310.0,2463.04101,1251.76493,232.808,80.976,2.0
2025-10V4,GX020590,5706,GX020590_5706,53320.0,1847.281,814.828,367.769,114.717,2.0
2025-10V4,GX020590,5706,GX020590_5706,53320.0,2189.74481,1002.08691,352.586,107.969,2.0
2025-10V4,GX020590,5760,GX020590_5760,54050.0,1553.74,792.897,676.493,123.152,2.0
2025-10V4,GX020590,53,GX020590_53,1150.0,1801.731,926.171,123.152,96.16,9.0
2025-10V4,GX020590,6184,GX020590_6184,56550.0,1823.663,948.102,452.119,443.685,9.0
2025-10V4,GX020590,6196,GX020590_6196,56570.0,1629.65594,757.469,575.27192,502.731,9.0
2025-10V4,GX020590,7138,GX020590_7138,62280.0,1553.7401,673.11922,111.343,79.28922,9.0
2025-10V4,GX020590,49,GX020590_49,1310.0,1621.221,1280.444,323.907,232.808,14.0
2025-10V4,GX020590,55,GX020590_55,1190.0,489.23383,1177.53603,323.907,204.129,14.0
2025-10V4,GX020590,55,GX020590_55,1190.0,838.44596,845.19384,190.633,128.213,14.0
2025-10V4,GX020590,56,GX020590_56,1200.0,789.52306,922.7969,202.441,129.9,14.0
2025-10V4,GX020590,57,GX020590_57,1200.0,787.8361,914.36194,234.495,126.52596,14.0
2025-10V4,GX020590,58,GX020590_58,1200.0,787.83601,927.8579,205.815,102.908,14.0
2025-10V4,GX020590,59,GX020590_59,1200.0,813.14095,921.10988,188.94562,119.77802,14.0
2025-10V4,GX020590,71,GX020590_71,1280.0,617.447,1078.00194,274.984,188.946,14.0
2025-10V4,GX020590,71,GX020590_71,1280.0,1572.297,1086.43691,241.244,126.526,14.0
2025-10V4,GX020590,76,GX020590_76,1290.0,860.377,867.125,180.511,128.214,14.0
2025-10V4,GX020590,76,GX020590_76,1290.0,1503.13,877.248,173.762,134.961,14.0
2025-10V4,GX020590,81,GX020590_81,1370.0,1486.26,914.362,229.434,222.686,14.0
2025-10V4,GX020590,85,GX020590_85,1380.0,1466.016,1025.705,251.365,140.022,14.0
2025-10V4,GX020590,85,GX020590_85,1380.0,1445.771,797.958,187.259,134.961,14.0
2025-10V4,GX020590,84,GX020590_84,1380.0,1498.06881,1035.827,224.37319,111.343,14.0
2025-10V4,GX020590,83,GX020590_83,1380.0,1521.68701,1029.079,197.38099,131.587,14.0
2025-10V4,GX020590,82,GX020590_82,1370.0,1509.878,927.85794,215.938,209.19006,14.0
2025-10V4,GX020590,82,GX020590_82,1370.0,824.95,910.988,151.831,114.717,14.0
2025-10V4,GX020590,81,GX020590_81,1370.0,840.133,907.614,134.961,138.335,14.0
2025-10V4,GX020590,77,GX020590_77,1300.0,959.911,749.034,140.022,114.717,14.0
2025-10V4,GX020590,3070,GX020590_3070,29340.0,1678.5792,937.98012,185.572,227.747,14.0
2025-10V4,GX020590,570,GX020590_570,7560.0,587.08097,1157.2919,263.174,280.04396,14.0
2025-10V4,GX020590,520,GX020590_520,7100.0,916.04899,686.61477,204.129,259.8,14.0
2025-10V4,GX020590,5571,GX020590_5571,52400.0,5.06091,990.27747,1084.75,151.8313,2.0
2025-10V4,GX020590,5571,GX020590_5571,52400.0,2186.37099,1049.32279,401.509,74.229,2.0
2025-10V4,GX020591,16733,GX020591_16733,173160.0,1525.06109,1057.75799,118.091,119.778,0.0
2025-10V4,GX020591,20888,GX020591_20888,193480.0,1300.6881,1374.917,131.587,140.022,0.0
2025-10V4,GX020591,20888,GX020591_20888,193480.0,1179.22306,1049.32294,458.868,72.542,2.0
2025-10V4,GX020591,16779,GX020591_16779,173450.0,1533.496,885.683,374.517,75.915,2.0
2025-10V4,GX020591,16779,GX020591_16779,173450.0,1854.029,1211.276,347.525,75.916,2.0
2025-10V4,GX020591,16796,GX020591_16796,173540.0,1825.35,1320.93188,355.96,72.542,2.0
2025-10V4,GX020591,16796,GX020591_16796,173540.0,1678.579,877.248,202.442,72.541,2.0
2025-10V4,GX020591,20888,GX020591_20888,193480.0,1202.841,1056.071,406.571,70.855,2.0
2025-10V4,GX020591,20888,GX020591_20888,193480.0,298.602,1017.2697,566.836,64.10624,2.0
2025-10V4,GX020591,666,GX020591_666,9020.0,1675.205,894.118,118.091,131.587,9.0
2025-10V4,GX020591,666,GX020591_666,9020.0,1580.733,705.172,72.541,79.29,9.0
2025-10V4,GX020591,12147,GX020591_12147,157440.0,1719.0677,528.03516,495.9827,323.90713,17.0
2025-10V4,GX020591,12148,GX020591_12148,157450.0,2064.90526,792.897,474.051,379.578,17.0
2025-10V4,GX020591,12155,GX020591_12155,157500.0,1940.06626,703.485,426.815,323.907,17.0
2025-10V4,GX020591,12156,GX020591_12156,157510.0,1714.00663,531.41004,463.929,269.922,17.0
2025-10V4,GX020591,19640,GX020591_19640,187940.0,1926.57088,757.46901,215.93744,178.824,17.0
2025-10V4,GX020591,19640,GX020591_19640,187940.0,1533.49569,489.23464,134.962,136.648,17.0
2025-10V4,GX020591,19640,GX020591_19640,187940.0,371.14307,600.57672,146.77,124.839,17.0
2025-10V4,GX020591,20070,GX020591_20070,190360.0,1842.22,668.058,226.06,207.502,17.0
2025-10V4,GX020591,20070,GX020591_20070,190360.0,285.10497,637.69177,153.519,140.022,17.0
2025-10V4,GX020591,20070,GX020591_20070,190360.0,1546.992,495.982,182.198,150.145,17.0
2025-10V4,GX020591,20157,GX020591_20157,190300.0,2245.416,909.301,293.541,288.479,17.0
2025-10V4,GX020591,20157,GX020591_20157,190300.0,1793.296,630.943,227.747,192.32,17.0
2025-10V4,GX020591,20157,GX020591_20157,190300.0,106.28178,706.85891,175.45,146.77,17.0
2025-10V4,GX020591,20157,GX020591_20157,190300.0,853.62899,435.24984,141.71,111.343,17.0
2025-10V4,GX020591,20667,GX020591_20667,192360.0,1779.8,642.752,253.052,219.312,17.0
