# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Road Defects","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"Crack longitudinal","1":"Crack longitudinal mechanical","2":"Crack transverse","3":"Crack transverse mechanical","4":"Crack crocodile","5":"Pothole","6":"Road marking blur","7":"Line marking blur","8":"Manhole","9":"Edge break","10":"Edge drop","11":"Edge repair","12":"Rutting","13":"Shoving","14":"Pumping","15":"Patching","16":"Ravelling","17":"Encroachment bush","18":"Encroachment sand","19":"Block crack","20":"Undulations","21":"Texture","22":"Voids","23":"Aggregate loss","24":"Bleeding","25":"Pitting","26":"Eroded washaway","27":"Deformation of road surface","28":"Stripping or breaking of seal","29":"Single cracks","30":"Close-spaced fine cracking or crazing","31":"Stripping of seal","32":"Local depressions","33":"Shoulder build-up above pavement edge level","34":"Tall dense grass growth","35":"Worn shoulder material below pavement edge","36":"Fading road sign","37":"Dirty road sign","38":"Bad night visibility of road markings","39":"Road markings obliterated","40":"Missing or damaged road studs","41":"Vegetation debris silt and growth in drainage facilities","42":"Long grass in road verges","43":"Undesired vegetation trees declared as pests in undesirable position","44":"Termite nest on road shoulder or in road reserve","45":"New sign required or existing one missing","46":"Existing signs damaged or badly deteriorated","47":"Guardrail missing or badly deteriorated","48":"Litter debris","49":"Surface Failure","50":"Structural Failure"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_yYNfFcIS","[""GX020605_35054_fn_313350.jpg""]",0,"[]","[2,367.685,981.667,316.667,163.611]","{""1"":""14""}"
"1_OkI7xsqE","[""GX020605_35054_fn_313350.jpg""]",0,"[]","[2,211.111,1247.315,184.722,72.129]","{""1"":""14""}"
"1_6NSYBR93","[""GX020605_35054_fn_313350.jpg""]",0,"[]","[2,789.907,1194.537,165.371,107.315]","{""1"":""14""}"
"3_pGrbkHPU","[""GX020621_24155_fn_198040.jpg""]",0,"[]","[2,1115.37,306.11111,158.334,93.24089]","{""1"":""15""}"
"3_2mUcroIa","[""GX020621_24155_fn_198040.jpg""]",0,"[]","[2,677.31481,494.35185,515.46319,485.55515]","{""1"":""15""}"
"4_7FoeOvsx","[""GX020621_44321_fn_315980.jpg""]",0,"[]","[2,72.12944,701.94396,580.55575,283.241]","{""1"":""15""}"
"5_bqrTVeJ0","[""GX030605_46418_fn_240230.jpg""]",0,"[]","[2,123.14781,830.37037,487.315,260.37]","{""1"":""4""}"
"6_3ZDpogAz","[""GX030605_46591_fn_240570.jpg""]",0,"[]","[2,249.815,775.833,371.204,211.111]","{""1"":""4""}"
"7_HR436C50","[""GX030605_46718_fn_240860.jpg""]",0,"[]","[2,418.70359,703.70374,459.16678,244.537]","{""1"":""4""}"
"8_dQVBCwLV","[""GX030605_46752_fn_240880.jpg""]",0,"[]","[2,358.889,738.889,455.648,233.981]","{""1"":""4""}"
"9_Ll4BZCEk","[""GX030605_46762_fn_240910.jpg""]",0,"[]","[2,216.389,898.981,450.37,172.408]","{""1"":""4""}"
"10_t0oSU5un","[""GX030605_46879_fn_241160.jpg""]",0,"[]","[2,244.537,923.611,387.037,276.204]","{""1"":""4""}"
"11_XS1HwpgA","[""GX030605_46891_fn_241200.jpg""]",0,"[]","[2,7.037,1027.407,153.056,281.482]","{""1"":""4""}"
"12_UXzB9z2p","[""GX030605_46893_fn_241220.jpg""]",0,"[]","[2,364.16648,737.12941,372.963,112.593]","{""1"":""4""}"
"13_et6LRTRI","[""GX030605_46956_fn_241310.jpg""]",0,"[]","[2,786.389,951.759,673.796,248.056]","{""1"":""4""}"
"14_QYRD1bBc","[""GX030605_47254_fn_242040.jpg""]",0,"[]","[2,408.148,754.722,360.648,126.667]","{""1"":""4""}"
"15_w5rBWlLq","[""GX030605_47274_fn_242070.jpg""]",0,"[]","[2,582.315,598.148,295.555,153.056]","{""1"":""4""}"
"16_J1Kib4Av","[""GX030605_47296_fn_242100.jpg""]",0,"[]","[2,1.759,992.222,364.167,205.834]","{""1"":""4""}"
"17_yKHzm8DO","[""GX030605_47555_fn_242860.jpg""]",0,"[]","[2,320.185,786.389,304.352,135.463]","{""1"":""4""}"
"17_br1tJgaw","[""GX030605_47555_fn_242860.jpg""]",0,"[]","[2,927.12929,1217.40722,376.482,179.445]","{""1"":""4""}"
"18_leVLLWqT","[""GX030605_47557_fn_242850.jpg""]",0,"[]","[2,1088.981,1025.64815,476.76,168.88885]","{""1"":""4""}"
"18_FGdMC4hn","[""GX030605_47557_fn_242850.jpg""]",0,"[]","[2,3.519,962.315,286.759,209.352]","{""1"":""4""}"
"19_Xq7yZNKX","[""GX030605_47558_fn_242880.jpg""]",0,"[]","[2,244.537,796.944,358.889,190]","{""1"":""4""}"
"20_LAXmPT3m","[""GX030605_47559_fn_242870.jpg""]",0,"[]","[2,476.75896,672.03748,277.963,116.111]","{""1"":""4""}"
"20_6DDoNnwr","[""GX030605_47559_fn_242870.jpg""]",0,"[]","[2,12.315,1029.167,274.444,272.685]","{""1"":""4""}"
"21_sWQy0cFA","[""GX030605_47561_fn_243050.jpg""]",0,"[]","[2,499.62978,657.96319,218.148,175.926]","{""1"":""4""}"
"22_nNTxUKPO","[""GX030605_47565_fn_242870.jpg""]",0,"[]","[2,527.778,693.148,327.222,179.445]","{""1"":""4""}"
"23_LIPnK4oz","[""GX030605_47567_fn_242870.jpg""]",0,"[]","[2,518.981,657.963,369.445,163.611]","{""1"":""4""}"
"23_SXvEFThS","[""GX030605_47567_fn_242870.jpg""]",0,"[]","[2,17.593,1052.037,431.018,323.704]","{""1"":""4""}"
"24_LJ7xYVc1","[""GX030605_47570_fn_242870.jpg""]",0,"[]","[2,8.79592,1069.62978,452.13,413.426]","{""1"":""4""}"
"25_owiuDWpc","[""GX030605_47572_fn_242880.jpg""]",0,"[]","[2,283.241,835.648,395.833,272.685]","{""1"":""4""}"
